SRS_ID;WADMKK;WADMPR;NO;NAMA ITEM DATA;KELURAHAN;KECAMATAN;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT
;;Sumatera Barat;28;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;-0.46049814351097224;100.57943701627764;ATM Tunai;JL. SOEKARNO HATTA NO. 3 BATUSANGKAR
;;Sumatera Barat;29;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;ATM Tunai;JL. DOBI NO. 1 PADANG
;;Sumatera Barat;30;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;ATM Tunai;JL. DOBI NO. 1 PADANG
;;Sumatera Barat;31;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;CRM;JL. DOBI NO. 1 PADANG
;;Sumatera Barat;32;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;-0.9479572391198565;100.35950907672775;CRM;JL. PROVINSI KM. 168, SATUI, ANGSANA, TANAH BUMBU, 72275
;;Sumatera Barat;33;GALLERY KCP DOBI;NIPAH;PADANG BARAT;-0.9479572391198565;100.35950907672775;ATM Tunai;JL DOBI NO 1
;;Sumatera Barat;34;GALLERY KCP KOTOBARU SOLOK;KOTO BARU;DHARMASRAYA;-1.087708769576455;101.72060842231092;CRM;JALAN LINTAS SUMATERA SIMPANG EMPAT KOTOBARU, DHARMASRAYA
;;Sumatera Barat;35;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;-0.4547634586378313;100.40217941222261;ATM Tunai;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG
;;Sumatera Barat;36;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;-0.4547634586378313;100.40217941222261;ATM Tunai;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG
;;Sumatera Barat;37;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;-0.4547634586378313;100.40217941222261;CRM;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG
;;Sumatera Barat;38;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;CRM;JALAN DIPONEGORO NO.14 PARIAMAN
;;Sumatera Barat;39;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JALAN DIPONEGORO NO.14 PARIAMAN
;;Sumatera Barat;40;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JL. DIPONEGORO NO. 14 PARIAMAN
;;Sumatera Barat;41;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JL. DIPONOGORO NO. 14 PARIAMAN
;;Sumatera Barat;42;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;-0.6232614564843586;100.11997945752671;ATM Tunai;JLN.YOS SUDARSO N0.309 LUBUK LINGGAU
;;Sumatera Barat;43;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;-0.23487734460130144;99.8348646520821;ATM Tunai;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN
;;Sumatera Barat;44;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;-0.23487734460130144;99.8348646520821;ATM Tunai;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN
;;Sumatera Barat;45;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;-0.23487734460130144;99.8348646520821;CRM;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN
;;Sumatera Barat;46;GALLERY KCP VETERAN;KEL. PADANG PASIR;PADANG BARAT;-0.9414262344153607;100.35503547103743;CRM;JL. VETERAN NO. 10
;;Sumatera Barat;47;GALLERY KCP VETERAN;PURUS;PADANG BARAT;-0.9414262344153607;100.35503547103743;ATM Non-Tunai;JL. VETERAN NO. 10 PADANG
;;Sumatera Barat;48;GALLERY KCP VETERAN;PURUS;PADANG BARAT;-0.9415073204134903;100.35487447612265;ATM Tunai;JL. VETERAN NO. 10 PADANG
;;Sumatera Barat;47;GALLERY KCP VETERAN;PURUS;PADANG BARAT;-0.9415073204134903;100.35487447612265;ATM Tunai;JL. VETERAN NO. 10 PADANG
;;Sumatera Barat;50;GALLERY KCU BUKITTINGGI;ATTS;GUGUAK PANJANG;-0.30410369805251514;100.37054954990658;CRM;JALAN PERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI
;;Sumatera Barat;51;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Tunai;JALANPERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI
;;Sumatera Barat;52;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;CRM;JL. PERINTIS KEMERDEKAAN NO.15 BUKITTINGGI
;;Sumatera Barat;53;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Tunai;JL.PERINTIS KEMERDEKAAN NO 15 BUKITTINGGI
;;Sumatera Barat;54;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Non-Tunai;JL.PERINTIS KEMERDEKAAN NO 15 BUKITTINGGI
;;Sumatera Barat;55;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30464450024327455;100.37054955036216;ATM Tunai;JL.PERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI
;;Sumatera Barat;56;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;-0.9431937484678314;100.36764192866495;ATM Non-Tunai;JL. PROKLAMASI NO. 45 PADANG
;;Sumatera Barat;57;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;-0.9431937484678314;100.36764192866495;ATM Tunai;JL. PROKLAMASI NO. 45 PADANG
;;Sumatera Barat;58;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;-0.9431937484678314;100.36764192866495;CRM;JL. PROKLAMASI NO. 45 PADANG
;;Sumatera Barat;59;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;CRM;JALAN SUKARNO-HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;60;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Tunai;JL VETERAN NO.25 & 27 PAYAKUMBUH
;;Sumatera Barat;61;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Tunai;JL. SOEKARNO HATTA NO. 86 PAYAKUMBUH
;;Sumatera Barat;62;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;CRM;JL. SOEKARNO HATTA NO. 86 PAYAKUMBUH
;;Sumatera Barat;63;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Non-Tunai;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;64;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;ATM Tunai;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;65;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;-0.22491110613613055;100.6291147840516;CRM;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH
;;Sumatera Barat;66;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;CRM;JALAN K. H AHMAD DAHLAN NO.123 - 125 SOLOK
;;Sumatera Barat;67;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;CRM;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;68;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Non-Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;69;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;70;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;71;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK
;;Sumatera Barat;72;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMP. UNIV. ANDALAS JL. GEDUNG PKM KAMPUS LIMAU MANIS PADANG
;;Sumatera Barat;73;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMPLEKS UNIVERSITAS ANDALAS LIMAU MANIS PADANG
;;Sumatera Barat;74;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMPLEKS UNIVERSITAS ANDALAS LIMAU MANIS PADANG
;;Sumatera Barat;75;GAREGEH;GAREGEH;MANDIANGIN KOTO SELAYAN;-0.2952669903042768;100.3852879978301;ATM Tunai;JL.SOEKARNO HATTA GANTING BUKITTINGGI
;;Sumatera Barat;76;GRAHA SERAMBI MEKAH;NGALAU;PADANG PANJANG TIMUR;-0.46189284689996857;100.4102418820387;ATM Tunai;JL.A.YANI NO .01 PADANG PANJANG
;;Sumatera Barat;77;HBT WIHARA BUKITTINGGI;BENTENG PASAR ATAS;GUGUAK PANJANG;-0.2876092206928431;100.37298319367927;ATM Tunai;JL. A YANI BUKITTINGGI
;;Sumatera Barat;78;HOKY MART;KEL. MANDIS GANTING;MANDIANGIN KOTO SELAYAN;-0.29702128324041277;100.38675007947266;ATM Tunai;JL. SOEKARNO HATTA GANTING BUKITTINGGI
;;Sumatera Barat;79;HOTEL GRAND MUTIS;BANDAR BUAT;LUBUK KILANGAN;-0.9490968611827025;100.43962304507664;ATM Tunai;JL.SLAMET WARDOYO
;;Sumatera Barat;80;HOTEL IBIS;RIMBO KALUANG;PADANG CARAT;-0.9274888248810643;100.36309003367994;ATM Tunai;JL.TAMAN SISWA NO.1A
;;Sumatera Barat;81;HOTEL ION;ULAK KARANMG UTARA;PADANG UTARA;-0.9077077592447736;100.35107106598296;ATM Tunai;JL. S PARMAN NO. 250 PADANG
;;Sumatera Barat;82;HOTEL MERCURE;PURUS;PADANG BARAT;-0.9357495153771851;100.35274239481888;ATM Tunai;JL PURUS NO. 8 PADANG
;;Sumatera Barat;83;HOTEL MITRA ARENA;ATTS;GUGUK PANJANG;-0.30037521484049035;100.37227123294886;ATM Tunai;JL. SOEKARNO HATTA BUKITTINGGI
;;Sumatera Barat;84;HOTEL MY ALL;KEL. OLO;PADANG BARAT;-0.9428252156741559;100.35171597947603;ATM Tunai;JL. SAMUDRA
;;Sumatera Barat;85;HOTEL OMBILIN;PASAR REMAJA;PASAR REMAJA;-0.6810474096702017;100.7774886948175;ATM Tunai;JL.M YAMIN PASAR REMAJA KOTA SAWAHLUNTO
