NO;ID;NAMA ITEM DATA;KELURAHAN;KECAMATAN;KABUPATEN/KOTA;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT;DATA ATRIBUT7;DATA ATRIBUT8;DATA ATRIBUT9;PHOTO/GAMBAR
21;;GALLERY KCP AIR TAWAR;AIR TAWAR BARAT;PADANG UTARA;KOTA PADANG;-0.8941842834144316;100.35159502227036;ATM Tunai;JL. HOLLYWOOD BOULEVARD, RUKO RODEO DRIVE BLOK B6 NO.1;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
22;;GALLERY KCP AIR TAWAR;AIR TAWAR BARAT;PADANG UTARA;KOTA PADANG;-0.8941842834144316;100.35159502227036;ATM Tunai;RUKO CIMANGGIS 2 JL. RAYA BOGOR KM 30 RT .07/01 CIMANGGIS DEPOK;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
23;;GALLERY KCP AUR KUNING;TAROK DIPO;GUGUK PANJANG;KOTA BUKITTINGGI;-0.3097821189955265;100.38470073822563;ATM Non-Tunai;JL.BELAKANG PASAR AUR KUNING BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
24;;GALLERY KCP AUR KUNING;TAROK DIPO;GUGUK PANJANG;KOTA BUKITTINGGI;-0.3097821189955265;100.38470073822563;ATM Tunai;JL.BELAKANG PASAR AUR KUNING BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
25;;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;KAB. TANAH DATAR;-0.46049814351097224;100.57943701627764;CRM;JALAN SUKARNO-HATTA NO.3 BATUSANGKAR;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
26;;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;KAB. TANAH DATAR;-0.46049814351097224;100.57943701627764;ATM Tunai;JL S.A BAGAGARSYAH NO 16 PAGARUYUNG TJ EMAS KAB TANAH DATAR;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
27;;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;KAB. TANAH DATAR;-0.46049814351097224;100.57943701627764;ATM Tunai;JL. SOEKARNO HATTA NO. 3 BATUSANGKAR;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
28;;GALLERY KCP BATUSANGKAR;BERINGIN;LIMA KAUM;KAB. TANAH DATAR;-0.46049814351097224;100.57943701627764;ATM Tunai;JL. SOEKARNO HATTA NO. 3 BATUSANGKAR;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
29;;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;KOTA PADANG;-0.9479572391198565;100.35950907672775;ATM Tunai;JL. DOBI NO. 1 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
30;;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;KOTA PADANG;-0.9479572391198565;100.35950907672775;ATM Tunai;JL. DOBI NO. 1 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
31;;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;KOTA PADANG;-0.9479572391198565;100.35950907672775;CRM;JL. DOBI NO. 1 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
32;;GALLERY KCP DOBI;KAMPUNG PONDOK;PADANG BARAT;KOTA PADANG;-0.9479572391198565;100.35950907672775;CRM;JL. PROVINSI KM. 168, SATUI, ANGSANA, TANAH BUMBU, 72275;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
33;;GALLERY KCP DOBI;NIPAH;PADANG BARAT;KOTA PADANG;-0.9479572391198565;100.35950907672775;ATM Tunai;JL DOBI NO 1;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
34;;GALLERY KCP KOTOBARU SOLOK;KOTO BARU;DHARMASRAYA;KAB. DHARMASRAYA;-1.087708769576455;101.72060842231092;CRM;JALAN LINTAS SUMATERA SIMPANG EMPAT KOTOBARU, DHARMASRAYA;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
35;;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;KOTA PADANG PANJANG;-0.4547634586378313;100.40217941222261;ATM Tunai;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
36;;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;KOTA PADANG PANJANG;-0.4547634586378313;100.40217941222261;ATM Tunai;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
37;;GALLERY KCP PADANG PANJANG;BUKIT SURUNGAN;PADANG PANJANG BARAT;KOTA PADANG PANJANG;-0.4547634586378313;100.40217941222261;CRM;JL. SOEKARNO - HATTA NO.12-14 PADANG PANJANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
38;;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;KOTA PARIAMAN;-0.6232614564843586;100.11997945752671;CRM;JALAN DIPONEGORO NO.14 PARIAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
39;;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;KOTA PARIAMAN;-0.6232614564843586;100.11997945752671;ATM Tunai;JALAN DIPONEGORO NO.14 PARIAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
40;;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;KOTA PARIAMAN;-0.6232614564843586;100.11997945752671;ATM Tunai;JL. DIPONEGORO NO. 14 PARIAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
